City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Cidreira,BR,2022-04-03 22:27:46,-30.1811,-50.2056,70.16,95,100,18.14,light rain
150,Henderson,US,2022-04-03 22:31:06,36.0397,-114.9819,84.22,21,0,6.91,clear sky
151,Lathrop,US,2022-04-03 22:31:01,37.8227,-121.2766,84.29,18,0,13.8,clear sky
152,Huntington,US,2022-04-03 22:28:54,38.4193,-82.4452,57.38,40,40,10.36,scattered clouds
153,Chapais,CA,2022-04-03 22:31:17,49.7834,-74.8492,38.98,86,100,5.79,overcast clouds
154,Kailua,US,2022-04-03 22:31:17,21.4022,-157.7394,84.18,75,48,8.99,scattered clouds
155,Savannah Bight,HN,2022-04-03 22:31:17,16.45,-85.85,81.0,80,0,16.13,clear sky
156,Port Elizabeth,ZA,2022-04-03 22:27:47,-33.918,25.5701,65.32,87,20,9.22,thunderstorm with rain
157,Nikolskoye,RU,2022-04-03 22:25:06,59.7035,30.7861,28.8,96,34,3.51,scattered clouds
158,Lavrentiya,RU,2022-04-03 22:26:32,65.5833,-171.0,-5.04,84,15,11.83,few clouds
159,Namibe,AO,2022-04-03 22:31:18,-15.1961,12.1522,70.95,79,100,5.73,overcast clouds
160,Bima,ID,2022-04-03 22:31:18,-8.4667,118.7167,75.74,93,89,2.3,overcast clouds
161,Chernyshevskiy,RU,2022-04-03 22:31:19,63.0128,112.4714,8.67,96,100,3.09,light snow
162,Kavaratti,IN,2022-04-03 22:30:06,10.5669,72.642,82.06,71,72,5.99,broken clouds
163,Hofn,IS,2022-04-03 22:26:37,64.2539,-15.2082,35.69,85,100,19.95,light rain
164,Aksarka,RU,2022-04-03 22:28:53,66.5606,67.7975,16.05,85,100,15.46,overcast clouds
165,Hammerfest,NO,2022-04-03 22:27:40,70.6634,23.6821,23.45,80,75,10.36,broken clouds
166,Chuy,UY,2022-04-03 22:31:19,-33.6971,-53.4616,65.75,86,97,6.46,moderate rain
167,Yarmouth,US,2022-04-03 22:31:20,41.7057,-70.2286,46.51,76,100,10.0,moderate rain
168,Pepel,SL,2022-04-03 22:31:20,8.5817,-13.0628,77.5,68,78,6.98,broken clouds
169,Santa Flavia,IT,2022-04-03 22:31:20,38.085,13.5351,53.38,67,100,3.0,overcast clouds
170,Cabo San Lucas,MX,2022-04-03 22:23:29,22.8909,-109.9124,78.62,64,0,10.36,clear sky
171,Kota Belud,MY,2022-04-03 22:31:21,6.351,116.4305,76.73,88,58,2.77,broken clouds
172,Dalbandin,PK,2022-04-03 22:31:21,28.8947,64.4101,71.13,10,1,3.78,clear sky
173,Itoman,JP,2022-04-03 22:30:19,26.1247,127.6694,64.42,71,20,11.5,few clouds
174,Fairlie,GB,2022-04-03 22:31:22,55.756,-4.8556,49.41,92,100,4.0,light rain
175,Vieques,PR,2022-04-03 22:31:22,18.425,-65.8329,82.42,61,20,8.05,few clouds
176,Mehamn,NO,2022-04-03 22:31:22,71.0357,27.8492,24.31,64,97,12.21,light snow
177,Ancud,CL,2022-04-03 22:31:23,-41.8697,-73.8203,50.23,82,91,6.44,overcast clouds
178,Laranjeiras Do Sul,BR,2022-04-03 22:31:23,-25.4078,-52.4161,65.23,92,38,2.35,light rain
179,Kruisfontein,ZA,2022-04-03 22:25:18,-34.0033,24.7314,58.89,81,94,5.44,overcast clouds
180,Atherton,GB,2022-04-03 22:31:23,53.5237,-2.4935,45.43,81,100,1.01,moderate rain
181,Iqaluit,CA,2022-04-03 22:30:13,63.7506,-68.5145,26.33,86,75,3.44,broken clouds
182,Lazaro Cardenas,MX,2022-04-03 22:31:24,17.9583,-102.2,79.72,63,64,10.85,broken clouds
183,Labuhan,ID,2022-04-03 22:29:18,-6.8844,112.2051,76.21,87,100,6.13,overcast clouds
184,Hasaki,JP,2022-04-03 22:31:24,35.7333,140.8333,48.6,76,99,20.83,light rain
185,Waingapu,ID,2022-04-03 22:31:24,-9.6567,120.2641,77.09,80,49,4.29,scattered clouds
186,Benxi,CN,2022-04-03 22:28:47,41.2886,123.765,44.92,75,0,7.45,clear sky
187,Sharjah,AE,2022-04-03 22:31:25,25.3573,55.4033,76.98,64,0,4.61,clear sky
188,Lethem,GY,2022-04-03 22:31:25,3.3803,-59.7968,76.44,84,99,2.73,overcast clouds
189,Tubuala,PA,2022-04-03 22:31:25,9.5167,-79.0333,80.31,83,92,12.3,overcast clouds
190,Lasa,IT,2022-04-03 22:31:25,46.6166,10.7002,36.7,97,99,0.47,light snow
191,Tombouctou,ML,2022-04-03 22:29:19,20.0,-3.0,87.33,12,0,8.32,clear sky
192,Bengkulu,ID,2022-04-03 22:28:46,-3.8004,102.2655,75.96,84,96,4.81,overcast clouds
193,Huarmey,PE,2022-04-03 22:31:26,-10.0681,-78.1522,71.64,81,14,11.3,few clouds
194,Killybegs,IE,2022-04-03 22:31:26,54.6333,-8.45,49.78,97,100,17.76,moderate rain
195,Ossora,RU,2022-04-03 22:31:26,59.2353,163.0719,22.86,74,24,2.55,few clouds
196,Port Blair,IN,2022-04-03 22:31:27,11.6667,92.75,80.58,76,39,8.21,scattered clouds
197,Muisne,EC,2022-04-03 22:30:26,0.6,-80.0333,78.39,84,88,7.23,overcast clouds
198,Nanortalik,GL,2022-04-03 22:25:27,60.1432,-45.2371,35.38,81,95,5.61,overcast clouds
199,Alagoinhas,BR,2022-04-03 22:31:27,-12.1356,-38.4192,72.68,91,8,3.71,clear sky
200,Moindou,NC,2022-04-03 22:31:27,-21.6924,165.677,84.74,72,100,8.39,overcast clouds
201,Haguenau,FR,2022-04-03 22:31:28,48.8156,7.7905,33.4,74,3,1.61,clear sky
202,Qostanay,KZ,2022-04-03 22:31:28,53.1667,63.5833,39.79,81,100,12.8,overcast clouds
203,Pacific Grove,US,2022-04-03 22:29:45,36.6177,-121.9166,71.38,71,20,13.0,few clouds
204,Nabire,ID,2022-04-03 22:31:28,-3.3667,135.4833,79.95,73,45,2.08,scattered clouds
205,Lompoc,US,2022-04-03 22:31:26,34.6391,-120.4579,70.7,80,75,18.41,broken clouds
206,Zhigansk,RU,2022-04-03 22:28:02,66.7697,123.3711,0.3,96,80,9.98,broken clouds
207,Glendive,US,2022-04-03 22:31:28,47.1053,-104.7125,56.82,30,75,16.11,broken clouds
208,Doka,SD,2022-04-03 22:31:29,13.5167,35.7667,89.1,17,22,9.69,few clouds
209,Xingyi,CN,2022-04-03 22:28:51,24.1877,102.817,44.64,83,3,2.71,clear sky
210,Vila Franca Do Campo,PT,2022-04-03 22:27:44,37.7167,-25.4333,57.61,74,17,12.44,few clouds
211,Valdivia,CL,2022-04-03 22:31:29,-39.8142,-73.2459,57.29,86,62,0.34,broken clouds
212,Nouadhibou,MR,2022-04-03 22:25:29,20.931,-17.0347,66.18,88,0,8.05,clear sky
213,Isla Mujeres,MX,2022-04-03 22:31:29,21.2311,-86.731,86.16,75,4,13.78,clear sky
214,Sao Joao Da Barra,BR,2022-04-03 22:31:30,-21.6403,-41.0511,75.81,89,7,7.05,clear sky
215,Luderitz,NA,2022-04-03 22:31:30,-26.6481,15.1594,59.31,86,0,5.41,clear sky
216,Codrington,AU,2022-04-03 22:31:30,-38.2667,141.9667,61.45,73,81,7.02,broken clouds
217,San Patricio,US,2022-04-03 22:31:30,28.017,-97.5169,85.15,56,0,15.35,clear sky
218,Alice Springs,AU,2022-04-03 22:31:31,-23.7,133.8833,54.95,54,0,2.3,clear sky
219,Karaton,ID,2022-04-03 22:31:31,-6.3424,106.1045,72.86,94,99,3.02,overcast clouds
220,Ayan,RU,2022-04-03 22:31:31,56.45,138.1667,26.02,94,100,19.06,snow
221,Carnarvon,AU,2022-04-03 22:25:05,-24.8667,113.6333,75.27,88,2,6.91,clear sky
222,Lensk,RU,2022-04-03 22:28:50,60.7253,114.9278,12.72,93,100,8.03,overcast clouds
223,Stephenville,US,2022-04-03 22:31:32,32.2207,-98.2023,87.17,28,0,14.0,clear sky
224,Angoche,MZ,2022-04-03 22:31:32,-16.2325,39.9086,77.16,80,1,2.62,clear sky
225,Douglas,US,2022-04-03 22:31:32,41.3,-96.167,62.31,51,0,11.5,clear sky
226,Vanavara,RU,2022-04-03 22:31:32,60.34,102.2797,-3.37,100,43,3.36,scattered clouds
227,Kysyl-Syr,RU,2022-04-03 22:31:33,63.8986,122.7617,16.77,95,100,5.14,light snow
228,Marsa Matruh,EG,2022-04-03 22:31:33,31.3525,27.2453,59.2,88,0,3.44,clear sky
229,Tarbolton,GB,2022-04-03 22:31:33,55.5129,-4.4865,48.49,100,75,18.41,light rain
230,Dharchula,IN,2022-04-03 22:31:33,29.85,80.5333,59.2,26,5,8.79,clear sky
231,Amahai,ID,2022-04-03 22:31:34,-3.3333,128.9167,80.2,78,88,2.19,overcast clouds
232,Geraldton,AU,2022-04-03 22:31:34,-28.7667,114.6,73.81,78,100,14.97,overcast clouds
233,Wallasey,GB,2022-04-03 22:31:34,53.4232,-3.065,46.98,79,75,12.66,light rain
234,Esperance,AU,2022-04-03 22:27:42,-33.8667,121.9,64.24,91,100,5.28,overcast clouds
235,Los Llanos De Aridane,ES,2022-04-03 22:31:35,28.6585,-17.9182,56.95,94,75,14.97,broken clouds
236,Ust-Ishim,RU,2022-04-03 22:31:35,57.6935,71.1665,35.56,98,100,10.07,overcast clouds
237,Tourlaville,FR,2022-04-03 22:31:35,49.6383,-1.5664,36.82,75,0,10.36,clear sky
238,Cogoleto,IT,2022-04-03 22:31:35,44.3893,8.6429,50.63,81,20,4.61,few clouds
239,Kargil,IN,2022-04-03 22:31:36,34.5667,76.1,20.68,70,14,3.71,few clouds
240,Ruteng,ID,2022-04-03 22:31:36,-8.6136,120.4721,59.34,80,95,1.12,overcast clouds
241,Saint-Augustin,CA,2022-04-03 22:31:36,51.226,-58.6502,34.38,81,77,15.99,broken clouds
242,Aras,ES,2022-04-03 22:31:36,42.5617,-2.356,36.01,60,100,10.36,overcast clouds
243,San Quintin,MX,2022-04-03 22:31:37,30.4833,-115.95,63.05,62,12,14.56,few clouds
244,Pangnirtung,CA,2022-04-03 22:28:51,66.1451,-65.7125,24.26,94,100,2.46,overcast clouds
245,Atlantic City,US,2022-04-03 22:31:37,39.3643,-74.4229,53.04,56,20,23.02,few clouds
246,Tahta,EG,2022-04-03 22:27:24,26.7693,31.5021,80.24,12,100,5.86,overcast clouds
247,Matara,LK,2022-04-03 22:31:37,5.9485,80.5353,76.51,88,48,1.61,scattered clouds
248,San Juan,AR,2022-04-03 22:27:40,-31.5375,-68.5364,67.84,30,14,16.46,few clouds
249,Taoudenni,ML,2022-04-03 22:31:38,22.6783,-3.9836,85.46,10,0,8.41,clear sky
250,Gornopravdinsk,RU,2022-04-03 22:31:38,60.05,69.9,35.51,99,100,10.87,overcast clouds
251,Itarema,BR,2022-04-03 22:31:38,-2.9248,-39.9167,77.43,89,31,9.24,scattered clouds
252,Sao Benedito Do Rio Preto,BR,2022-04-03 22:31:38,-3.3336,-43.5283,74.79,96,81,3.47,broken clouds
253,Road Town,VG,2022-04-03 22:31:39,18.4167,-64.6167,80.69,65,20,6.91,few clouds
254,Vila Velha,BR,2022-04-03 22:28:57,-20.3297,-40.2925,82.35,81,20,6.91,few clouds
255,Marawi,PH,2022-04-03 22:21:45,7.9986,124.2928,67.32,95,88,1.34,overcast clouds
256,Kidal,ML,2022-04-03 22:31:39,18.4411,1.4078,85.93,6,48,4.5,scattered clouds
257,Warri,NG,2022-04-03 22:31:39,5.5167,5.75,78.91,84,97,3.71,overcast clouds
258,Tobane,BW,2022-04-03 22:31:40,-21.95,27.9,77.07,46,93,3.8,overcast clouds
259,Hovd,MN,2022-04-03 22:31:26,48.0056,91.6419,37.47,36,56,6.6,broken clouds
260,Fort Nelson,CA,2022-04-03 22:30:28,58.8053,-122.7002,35.19,48,75,17.27,broken clouds
261,Shingu,JP,2022-04-03 22:31:40,33.7333,135.9833,56.07,74,98,6.13,overcast clouds
