City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
476,Sabha,LY,77.67,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
477,Harper,LR,80.37,overcast clouds,4.375,-7.7169,Screensaver
478,Kalmunai,LK,77.79,clear sky,7.4167,81.8167,VS Villa
479,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
480,Atar,MR,72.25,clear sky,20.5169,-13.0499,Oumou Elghoura
481,Batemans Bay,AU,64.09,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
484,Monrovia,LR,78.57,broken clouds,6.3005,-10.7969,Sunset Inn
486,Alugan,PH,79.83,overcast clouds,12.2188,125.4808,JM Lodge
488,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Hotel San Juan
489,Kharsawan,IN,75.56,clear sky,22.8,85.8333,Pardhandih(Dabra)
491,Honiara,SB,81.86,overcast clouds,-9.4333,159.95,Heritage Park Hotel
495,Ngunguru,NZ,69.37,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
496,Mandali,IQ,77.14,broken clouds,33.7499,45.5541,قرئ الشيخ سحاب الندا
497,Buala,SB,82.4,light rain,-8.145,159.5921,Maringe Lagoon Lodge
500,Antalaha,MG,74.79,broken clouds,-14.9003,50.2788,Hotel Vitasoa
501,Saint-Pierre,RE,74.88,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
502,Basoko,CD,72.52,broken clouds,1.2391,23.616,Jackyna Hotel
506,Raymondville,US,86.11,scattered clouds,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
507,Katobu,ID,76.37,scattered clouds,-4.9408,122.5276,La Ode Husein
509,Morehead,US,62.78,clear sky,37.2711,-87.1764,CCI Express Inn
510,Salvador,SV,80.64,few clouds,13.8333,-88.9167,Chico's Ranch
511,Pedasi,PA,86.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
512,Nova Russas,BR,73.13,broken clouds,-4.7067,-40.5631,palace motel
516,Colesberg,ZA,62.15,light rain,-30.72,25.0972,Bhelekazi Guesthouse
518,San Policarpo,PH,80.24,overcast clouds,12.1791,125.5072,Agapita M. Nicart
519,Natal,BR,77.22,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
520,Concepcion Del Uruguay,AR,64.98,overcast clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
521,Acajutla,SV,84.34,few clouds,13.5928,-89.8275,Laureles
523,Kununurra,AU,66.18,few clouds,-15.7667,128.7333,Hotel Kununurra
524,Dingle,PH,75.13,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
529,Richards Bay,ZA,75.34,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
532,Mecca,SA,81.63,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
533,Puerto Del Rosario,ES,65.95,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
535,Pimenta Bueno,BR,74.77,few clouds,-11.6725,-61.1936,Cristalina Palace Hotel
536,Grants Pass,US,68.18,few clouds,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
537,San Jose,US,80.49,scattered clouds,37.3394,-121.895,The Westin San Jose
539,Gat,IL,72.39,broken clouds,31.61,34.7642,OlusHome
541,Namatanai,PG,82.89,light rain,-3.6667,152.4333,Seagulls Inn Namatani
542,Pak Phanang,TH,81.07,moderate rain,8.3511,100.202,Green Park Inn Hotel
543,Pemangkat,ID,77.86,broken clouds,1.1667,108.9667,Ramah Kost KITA
544,Vanimo,PG,81.12,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
550,Itaituba,BR,74.68,moderate rain,-4.2761,-55.9836,Hotel Campos
552,Puerto Cabezas,NI,84.16,broken clouds,14.0351,-83.3888,Cabaña Caribe
554,Machico,PT,61.43,broken clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
560,Kiunga,PG,81.07,scattered clouds,-6.1219,141.2906,Airport Lodge Kiunga
562,Sao Joao Do Piaui,BR,81.54,broken clouds,-8.3581,-42.2467,Nayra Palace Hotel
563,San Felipe,VE,75.18,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
564,Aguimes,ES,61.43,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
565,Gisborne,NZ,70.66,clear sky,-38.6533,178.0042,ASURE Alfresco Motor Lodge
568,Dhemaji,IN,67.73,overcast clouds,27.4833,94.5833,SPOT ON 48710 Hotel Shikha
569,Whakatane,NZ,74.64,clear sky,-37.9585,176.9854,Pacific Coast Motel
574,Novo Aripuana,BR,74.23,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
575,Presidencia Roque Saenz Pena,AR,68.61,overcast clouds,-26.7852,-60.4388,Hotel Gualok
576,Belmonte,BR,77.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
579,Tsumeb,,63.7,overcast clouds,-19.2333,17.7167,TeaterHuis Guest House
580,Banjar,ID,75.85,scattered clouds,-8.19,114.9675,The Hamsa Resort
581,Meoqui,MX,89.08,few clouds,28.2833,-105.4833,Hotel Paraíso Dorado
582,Ukiah,US,72.45,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
587,Puerto Maldonado,PE,75.97,clear sky,-12.6,-69.1833,Wasai Hotel
590,Tezpur,IN,69.55,overcast clouds,26.6333,92.8,Hotel Kanyapur
592,Charters Towers,AU,76.59,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
593,Ambilobe,MG,72.27,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
596,Shakawe,BW,65.7,light rain,-18.3667,21.85,Ditlhapi Guest House
597,Belton,US,68.56,overcast clouds,38.812,-94.5319,Hampton Inn Belton/Kansas City area
598,Governador Valadares,BR,77.23,broken clouds,-18.8511,-41.9494,Hotel Panorama
599,Sinnamary,GF,77.34,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
603,Sao Filipe,CV,71.08,few clouds,14.8961,-24.4956,Hotel Xaguate
604,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
606,Hualmay,PE,70.7,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
607,Pasni,PK,76.62,few clouds,25.2631,63.471,Kashmiri Hotal
